,Impute_Mode__SatisfactionScore,Impute_Median__DaysSinceLastLogin,Impute_Median__TotalSpend,Ordinal__InternetPlan,OneHot__HasFamilyPlan_Yes,OneHot__AutoPayment_Yes,OneHot__ContractType_OneYear,OneHot__ContractType_TwoYear,remainder__TenureMonths,remainder__SupportCalls,remainder__AvgWatchHours,remainder__PaymentDelayDays,remainder__NumberOfDevices,Churn
52,2.0,4.78,28490.93,1.0,1.0,1.0,0.0,1.0,19.0,4.0,9.86,0.63,5.0,0
53,6.0,10.6,44481.23,1.0,1.0,0.0,0.0,0.0,59.0,4.0,7.01,7.24,2.0,0
54,8.0,4.54,46373.48,0.0,0.0,0.0,0.0,0.0,41.0,1.0,8.3,0.16,2.0,0
55,6.0,2.58,51600.96,2.0,0.0,1.0,0.0,0.0,21.0,5.0,7.56,3.79,5.0,1
56,4.0,7.18,49586.81,1.0,0.0,0.0,0.0,0.0,30.0,2.0,8.05,6.63,5.0,0
57,4.0,6.36,29914.99,1.0,1.0,1.0,0.0,0.0,41.0,3.0,11.48,0.58,2.0,0
58,1.0,2.85,86129.78,0.0,0.0,1.0,1.0,0.0,45.0,4.0,13.17,1.29,3.0,0
59,10.0,7.97,55174.31,2.0,0.0,0.0,0.0,0.0,56.0,6.0,7.14,1.81,2.0,0
60,5.0,29.05,11156.79,0.0,0.0,1.0,1.0,0.0,5.0,1.0,10.27,2.19,2.0,0
61,3.0,5.16,146895.78,0.0,0.0,1.0,0.0,0.0,59.0,3.0,9.45,4.02,5.0,0
62,7.0,7.54,90023.26,2.0,1.0,1.0,0.0,0.0,43.0,3.0,11.66,0.53,2.0,0
63,2.0,12.83,78352.5,1.0,0.0,1.0,0.0,0.0,37.0,1.0,9.19,1.92,5.0,0
64,2.0,11.37,12209.27,2.0,1.0,1.0,1.0,0.0,14.0,3.0,12.43,3.4,1.0,0
65,5.0,5.09,78678.34,1.0,0.0,0.0,0.0,0.0,33.0,3.0,19.18,0.89,1.0,0
66,4.0,0.36,50054.22,0.0,0.0,0.0,0.0,1.0,34.0,2.0,14.93,12.41,4.0,0
67,3.0,16.76,29047.69,0.0,1.0,0.0,0.0,0.0,2.0,2.0,21.59,2.61,2.0,1
68,8.0,12.33,86324.1,2.0,0.0,0.0,0.0,0.0,53.0,3.0,8.19,0.32,1.0,0
69,8.0,1.25,124883.07,2.0,1.0,0.0,0.0,0.0,57.0,0.0,13.2,6.41,2.0,0
70,7.0,0.33,58601.35,0.0,0.0,0.0,0.0,0.0,31.0,3.0,7.77,0.1,3.0,0
71,7.0,14.23,116841.11,0.0,1.0,1.0,0.0,1.0,42.0,6.0,8.8,2.4,4.0,0
72,1.0,1.34,66702.44,0.0,0.0,0.0,0.0,0.0,33.0,2.0,8.42,5.36,4.0,0
73,7.0,2.79,62617.16,1.0,0.0,0.0,0.0,0.0,18.0,5.0,15.02,9.33,4.0,0
74,2.0,6.18,81590.89,0.0,1.0,1.0,0.0,1.0,38.0,2.0,8.31,1.95,2.0,0
75,3.0,0.71,74588.15,0.0,0.0,0.0,0.0,0.0,37.0,4.0,9.63,2.67,3.0,1
76,9.0,0.09,310.11,1.0,1.0,0.0,0.0,0.0,8.0,6.0,11.05,6.4,4.0,0
77,5.0,2.08,18625.85,2.0,1.0,0.0,1.0,0.0,8.0,6.0,17.38,0.82,2.0,0
78,4.0,14.51,90263.36,1.0,0.0,1.0,0.0,0.0,41.0,0.0,26.33,2.87,3.0,0
79,5.0,0.98,63594.94,1.0,1.0,1.0,0.0,0.0,24.0,2.0,18.42,3.51,3.0,0
80,4.0,8.21,47981.41,0.0,0.0,1.0,1.0,0.0,33.0,1.0,15.56,0.07,5.0,0
81,1.0,9.99,103441.94,2.0,0.0,0.0,1.0,0.0,57.0,0.0,12.85,0.36,5.0,0
82,7.0,3.02,65030.0,0.0,1.0,0.0,1.0,0.0,37.0,3.0,19.87,11.94,2.0,0
83,8.0,12.48,164802.57,0.0,0.0,0.0,0.0,0.0,46.0,1.0,15.88,11.65,5.0,0
84,2.0,9.44,40669.34,1.0,0.0,0.0,0.0,0.0,38.0,3.0,11.63,0.98,2.0,0
85,8.0,0.13,5027.5,2.0,1.0,0.0,0.0,0.0,18.0,2.0,11.65,0.26,3.0,0
86,5.0,6.11,93739.08,0.0,0.0,1.0,0.0,0.0,59.0,2.0,7.61,0.5,1.0,0
87,3.0,0.64,103333.41,0.0,0.0,1.0,0.0,0.0,57.0,5.0,5.26,0.24,5.0,0
88,5.0,0.14,140531.32,1.0,0.0,0.0,0.0,0.0,51.0,2.0,20.19,3.55,1.0,0
89,8.0,19.33,12485.3,1.0,1.0,1.0,0.0,1.0,9.0,4.0,17.61,0.57,5.0,0
90,7.0,8.72,46051.95,2.0,1.0,1.0,0.0,0.0,38.0,4.0,13.41,4.81,3.0,0
91,7.0,1.89,4922.63,1.0,1.0,1.0,0.0,1.0,5.0,6.0,15.85,0.62,1.0,0
92,8.0,18.02,7177.36,1.0,1.0,0.0,0.0,1.0,10.0,2.0,2.39,0.84,1.0,0
93,4.0,15.52,121363.81,1.0,0.0,0.0,0.0,0.0,44.0,3.0,12.57,2.41,3.0,0
94,4.0,16.71,122179.73,0.0,1.0,1.0,0.0,1.0,55.0,4.0,17.08,1.21,3.0,0
95,8.0,0.72,24686.58,1.0,1.0,0.0,0.0,0.0,26.0,1.0,13.67,5.51,5.0,0
96,4.0,2.72,38500.5,1.0,0.0,1.0,0.0,0.0,38.0,2.0,7.81,7.88,5.0,0
97,1.0,1.12,22496.04,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.31,0.12,5.0,0
98,7.0,6.36,50054.22,0.0,1.0,1.0,0.0,1.0,6.0,4.0,7.54,0.62,4.0,0
99,2.0,3.73,82859.42,0.0,0.0,1.0,0.0,0.0,53.0,3.0,12.63,6.12,1.0,0
100,10.0,2.04,11875.13,2.0,1.0,1.0,1.0,0.0,10.0,1.0,21.83,0.29,2.0,0
101,8.0,14.49,52251.93,0.0,0.0,0.0,0.0,0.0,25.0,2.0,11.87,0.18,4.0,0
102,7.0,12.4,24059.36,0.0,0.0,0.0,0.0,0.0,26.0,1.0,19.48,0.23,4.0,0
103,3.0,1.0,47207.93,0.0,1.0,0.0,1.0,0.0,25.0,6.0,13.53,6.51,4.0,0
104,8.0,1.45,104426.37,1.0,1.0,1.0,1.0,0.0,38.0,4.0,18.25,0.29,5.0,0
105,6.0,5.12,43115.33,2.0,1.0,1.0,1.0,0.0,28.0,2.0,6.41,0.3,1.0,0
106,7.0,6.31,88409.22,1.0,0.0,1.0,1.0,0.0,48.0,3.0,14.22,2.45,1.0,0
107,5.0,18.71,50054.22,1.0,0.0,0.0,0.0,0.0,52.0,2.0,16.63,1.02,4.0,0
108,2.0,5.65,69706.12,1.0,1.0,0.0,0.0,0.0,48.0,3.0,12.5,0.5,3.0,0
109,7.0,0.68,50752.42,1.0,0.0,0.0,0.0,0.0,25.0,6.0,11.27,2.82,1.0,0
110,6.0,2.72,66670.66,2.0,1.0,1.0,0.0,0.0,38.0,2.0,8.29,12.73,3.0,0
111,3.0,2.63,50054.22,2.0,1.0,1.0,0.0,0.0,28.0,1.0,13.91,4.15,4.0,0
112,2.0,2.45,11655.3,1.0,1.0,0.0,0.0,0.0,17.0,4.0,14.07,2.37,1.0,0
113,8.0,16.5,9391.62,1.0,0.0,1.0,1.0,0.0,15.0,4.0,3.91,1.6,4.0,0
114,7.0,2.0,34952.88,0.0,0.0,0.0,1.0,0.0,15.0,2.0,13.28,2.33,4.0,0
115,7.0,23.75,38665.49,0.0,0.0,1.0,0.0,1.0,9.0,3.0,20.4,0.04,1.0,0
116,9.0,1.66,15351.56,1.0,0.0,0.0,0.0,0.0,13.0,2.0,11.71,0.39,1.0,0
117,7.0,21.07,17377.1,2.0,0.0,1.0,0.0,0.0,1.0,4.0,18.86,1.63,2.0,1
118,4.0,0.25,38451.5,1.0,0.0,0.0,0.0,1.0,9.0,3.0,19.6,1.3,3.0,0
119,9.0,7.39,63379.09,0.0,0.0,1.0,0.0,0.0,51.0,6.0,9.71,0.17,3.0,0
120,6.0,12.18,39391.26,0.0,1.0,1.0,0.0,0.0,11.0,5.0,6.61,2.21,1.0,1
121,9.0,8.33,16430.14,0.0,1.0,0.0,0.0,0.0,6.0,1.0,17.7,0.59,2.0,0
122,10.0,10.47,-712.76,1.0,0.0,1.0,0.0,0.0,6.0,2.0,13.64,1.13,3.0,0
123,2.0,5.8,103168.27,1.0,1.0,1.0,0.0,0.0,36.0,3.0,9.04,3.05,4.0,0
124,6.0,45.79,93479.57,1.0,0.0,1.0,1.0,0.0,34.0,2.0,6.72,5.03,3.0,0
125,1.0,14.0,50054.22,0.0,0.0,0.0,0.0,0.0,47.0,2.0,12.45,2.74,5.0,0
126,5.0,22.77,35039.4,1.0,0.0,1.0,0.0,1.0,24.0,4.0,17.15,8.47,3.0,0
127,2.0,8.89,32683.32,0.0,1.0,1.0,0.0,0.0,47.0,2.0,11.02,5.01,5.0,0
128,7.0,6.02,92069.2,2.0,0.0,0.0,0.0,0.0,25.0,4.0,12.71,0.63,5.0,0
129,2.0,15.1,26991.11,0.0,0.0,1.0,0.0,0.0,14.0,2.0,2.63,1.18,1.0,0
130,5.0,8.92,110808.2,0.0,0.0,1.0,0.0,0.0,29.0,1.0,10.44,1.77,3.0,0
131,6.0,0.75,66702.99,1.0,0.0,1.0,0.0,0.0,28.0,5.0,8.34,1.59,3.0,0
132,10.0,3.96,3628.12,1.0,0.0,1.0,0.0,0.0,11.0,3.0,6.11,1.36,2.0,0
133,8.0,9.11,191190.53,1.0,1.0,1.0,1.0,0.0,57.0,0.0,14.09,4.31,5.0,0
134,7.0,4.28,29897.48,0.0,0.0,1.0,1.0,0.0,20.0,2.0,6.21,0.49,5.0,0
135,4.0,5.47,6634.53,0.0,0.0,1.0,0.0,0.0,3.0,3.0,11.84,4.86,3.0,0
136,9.0,18.11,49604.97,2.0,1.0,1.0,0.0,0.0,58.0,3.0,18.05,0.54,1.0,0
137,7.0,0.44,50023.91,2.0,0.0,0.0,0.0,0.0,29.0,7.0,10.99,0.49,2.0,0
138,7.0,4.23,21492.54,1.0,1.0,1.0,0.0,0.0,12.0,4.0,15.96,1.33,5.0,0
139,4.0,5.64,66510.4,1.0,0.0,0.0,0.0,0.0,32.0,1.0,10.65,6.03,5.0,0
140,8.0,8.16,86261.25,2.0,0.0,1.0,0.0,0.0,60.0,2.0,11.09,2.35,5.0,0
141,10.0,9.37,12182.32,2.0,1.0,1.0,0.0,0.0,11.0,4.0,8.03,1.1,5.0,0
142,6.0,2.96,117239.1,1.0,1.0,1.0,1.0,0.0,54.0,3.0,3.74,2.93,4.0,0
143,6.0,3.26,62357.42,0.0,1.0,0.0,0.0,1.0,52.0,3.0,7.18,0.34,2.0,0
144,9.0,1.27,19862.42,1.0,0.0,1.0,1.0,0.0,13.0,2.0,14.06,0.97,4.0,0
145,10.0,1.51,108745.05,1.0,0.0,1.0,0.0,0.0,48.0,4.0,6.7,1.68,4.0,0
146,7.0,7.33,1431.57,0.0,1.0,1.0,0.0,1.0,2.0,2.0,6.15,0.71,1.0,0
147,8.0,13.46,3120.71,0.0,1.0,1.0,0.0,0.0,1.0,2.0,11.45,0.4,2.0,0
148,6.0,20.65,15506.16,0.0,0.0,1.0,0.0,0.0,22.0,3.0,6.8,5.81,1.0,0
149,2.0,5.65,4843.54,2.0,1.0,1.0,1.0,0.0,7.0,4.0,21.86,1.24,1.0,0
150,7.0,1.09,24979.83,1.0,0.0,1.0,1.0,0.0,37.0,2.0,1.95,0.19,3.0,0
151,3.0,21.15,64560.77,1.0,0.0,0.0,1.0,0.0,36.0,1.0,9.65,1.3,2.0,0
152,10.0,14.44,95997.91,1.0,0.0,0.0,0.0,0.0,37.0,2.0,15.75,4.59,5.0,0
153,1.0,1.49,185444.64,1.0,1.0,1.0,0.0,1.0,59.0,3.0,16.25,3.05,3.0,0
154,4.0,3.85,67785.43,1.0,0.0,1.0,0.0,0.0,39.0,6.0,17.51,0.72,4.0,0
155,6.0,17.04,-5368.45,1.0,0.0,1.0,1.0,0.0,5.0,1.0,17.6,1.91,4.0,0
156,5.0,5.36,23645.05,1.0,1.0,0.0,0.0,0.0,39.0,2.0,8.84,2.3,4.0,0
157,2.0,7.95,5419.65,1.0,0.0,0.0,0.0,0.0,2.0,4.0,13.3,3.37,2.0,0
158,10.0,9.01,29358.29,1.0,0.0,1.0,1.0,0.0,9.0,1.0,13.32,2.13,3.0,0
159,2.0,13.79,10530.2,2.0,0.0,1.0,0.0,0.0,2.0,1.0,8.61,6.23,5.0,0
160,10.0,34.13,110816.53,1.0,0.0,0.0,0.0,0.0,43.0,4.0,20.26,1.03,5.0,0
161,7.0,7.86,40743.39,1.0,1.0,0.0,0.0,0.0,54.0,0.0,18.94,3.15,3.0,0
162,7.0,3.58,19640.34,0.0,1.0,0.0,0.0,1.0,8.0,3.0,11.71,5.67,3.0,0
163,2.0,2.92,44807.8,2.0,0.0,0.0,0.0,0.0,22.0,2.0,9.54,3.7,2.0,0
164,3.0,4.49,51609.6,1.0,0.0,1.0,1.0,0.0,27.0,2.0,9.22,0.22,5.0,0
165,2.0,5.96,81878.53,1.0,0.0,1.0,0.0,0.0,30.0,2.0,10.87,5.97,1.0,0
166,8.0,14.64,34498.95,1.0,0.0,1.0,0.0,0.0,17.0,3.0,16.88,5.16,2.0,0
167,10.0,15.87,9808.92,1.0,1.0,1.0,0.0,1.0,24.0,2.0,19.47,0.2,4.0,0
168,5.0,5.65,47432.28,1.0,0.0,1.0,0.0,0.0,12.0,2.0,18.55,0.11,2.0,0
169,5.0,16.24,66252.29,1.0,0.0,0.0,0.0,0.0,28.0,3.0,10.42,5.58,2.0,0
170,6.0,9.56,135434.42,0.0,0.0,1.0,0.0,1.0,59.0,1.0,5.57,1.74,3.0,0
171,3.0,1.88,70985.01,0.0,0.0,0.0,0.0,0.0,53.0,5.0,10.33,3.42,2.0,0
172,4.0,1.99,4831.05,0.0,1.0,0.0,0.0,1.0,16.0,4.0,5.34,1.71,3.0,0
173,9.0,8.66,56019.35,1.0,1.0,0.0,0.0,0.0,34.0,2.0,7.22,0.72,4.0,0
174,7.0,4.84,36546.87,0.0,1.0,0.0,0.0,0.0,18.0,3.0,11.08,1.09,3.0,0
175,5.0,3.72,50054.22,1.0,0.0,0.0,0.0,0.0,8.0,3.0,20.65,0.95,3.0,0
176,8.0,0.76,121609.3,1.0,1.0,0.0,0.0,0.0,60.0,0.0,11.76,1.39,1.0,0
177,2.0,24.49,68887.43,1.0,0.0,1.0,0.0,0.0,39.0,1.0,9.55,1.4,3.0,0
178,7.0,15.61,92199.49,0.0,1.0,1.0,0.0,0.0,56.0,2.0,21.04,0.55,4.0,0
179,7.0,21.05,38854.65,1.0,1.0,1.0,1.0,0.0,33.0,3.0,7.06,11.51,3.0,0
180,4.0,3.32,92932.62,2.0,1.0,0.0,0.0,0.0,54.0,1.0,10.07,0.12,4.0,0
181,2.0,3.91,16569.28,0.0,0.0,1.0,0.0,0.0,6.0,4.0,15.04,0.33,5.0,1
182,4.0,14.39,3781.24,1.0,1.0,0.0,0.0,0.0,1.0,1.0,8.14,0.44,1.0,1
183,7.0,6.83,104838.94,0.0,1.0,0.0,0.0,0.0,51.0,1.0,15.11,1.25,5.0,0
184,2.0,22.55,56338.78,1.0,0.0,1.0,1.0,0.0,34.0,2.0,10.37,2.69,2.0,0
185,5.0,17.59,-1946.21,0.0,0.0,1.0,1.0,0.0,17.0,3.0,12.39,12.27,2.0,0
186,7.0,12.46,125523.11,1.0,1.0,1.0,0.0,1.0,43.0,2.0,17.52,2.11,3.0,0
187,2.0,4.13,55060.63,0.0,0.0,1.0,0.0,0.0,21.0,3.0,9.95,6.46,3.0,0
188,8.0,15.43,50054.22,1.0,0.0,1.0,1.0,0.0,22.0,4.0,10.76,2.93,1.0,0
189,5.0,25.8,69134.89,2.0,0.0,1.0,0.0,1.0,54.0,2.0,18.57,14.34,5.0,0
190,4.0,5.4,56280.34,1.0,0.0,0.0,0.0,0.0,47.0,4.0,15.07,0.96,1.0,0
191,8.0,7.51,135108.75,1.0,0.0,1.0,0.0,0.0,60.0,2.0,18.19,1.08,4.0,0
192,5.0,3.75,130425.5,1.0,1.0,0.0,0.0,0.0,51.0,4.0,3.03,2.61,5.0,0
193,6.0,23.59,57999.26,0.0,0.0,1.0,0.0,0.0,50.0,2.0,10.77,0.36,4.0,0
194,9.0,4.53,-3354.6,2.0,1.0,0.0,0.0,0.0,40.0,4.0,18.57,0.36,3.0,0
195,4.0,4.9,-366.95,0.0,0.0,0.0,1.0,0.0,5.0,1.0,12.88,1.99,1.0,0
196,8.0,3.92,80831.21,2.0,0.0,0.0,0.0,1.0,50.0,1.0,10.37,0.16,5.0,0
197,10.0,1.15,28635.27,1.0,1.0,1.0,0.0,0.0,12.0,5.0,8.7,4.52,2.0,0
198,1.0,0.59,6688.82,0.0,0.0,0.0,0.0,0.0,14.0,3.0,11.43,0.65,3.0,0
199,5.0,16.59,33382.35,0.0,1.0,1.0,0.0,1.0,30.0,5.0,12.3,2.86,5.0,0
200,1.0,3.0,47528.58,0.0,0.0,0.0,0.0,0.0,54.0,7.0,5.4,3.25,1.0,0
201,10.0,0.04,35116.24,0.0,0.0,1.0,0.0,0.0,24.0,2.0,9.25,0.43,5.0,0
202,10.0,10.78,47489.72,2.0,1.0,1.0,0.0,0.0,23.0,3.0,1.0,3.28,2.0,0
203,4.0,23.18,99334.62,1.0,0.0,1.0,0.0,0.0,59.0,1.0,1.0,4.72,1.0,0
204,7.0,18.87,105310.57,0.0,0.0,1.0,0.0,1.0,32.0,3.0,1.76,0.24,3.0,0
205,1.0,15.64,79776.86,2.0,0.0,1.0,0.0,0.0,60.0,4.0,10.01,1.22,4.0,0
206,10.0,11.58,13223.07,0.0,0.0,0.0,0.0,0.0,15.0,2.0,24.99,0.49,2.0,0
207,1.0,9.91,87439.8,0.0,0.0,1.0,0.0,0.0,45.0,2.0,12.63,6.36,4.0,0
208,3.0,25.56,35846.04,1.0,0.0,1.0,1.0,0.0,22.0,1.0,14.37,0.46,2.0,0
209,2.0,15.41,16791.48,0.0,1.0,1.0,0.0,0.0,19.0,4.0,11.2,0.65,3.0,0
210,7.0,0.7,11258.27,2.0,0.0,1.0,0.0,1.0,6.0,2.0,12.77,1.19,5.0,0
211,2.0,0.92,59846.1,0.0,0.0,0.0,1.0,0.0,23.0,3.0,10.12,2.59,2.0,0
212,1.0,0.31,217844.55,1.0,1.0,1.0,0.0,1.0,56.0,2.0,24.26,13.58,3.0,0
213,3.0,9.26,58632.65,1.0,1.0,1.0,1.0,0.0,29.0,2.0,7.59,2.46,5.0,0
214,2.0,5.65,109913.29,2.0,0.0,1.0,0.0,1.0,28.0,1.0,3.22,1.07,2.0,0
215,7.0,3.89,75735.84,0.0,0.0,0.0,1.0,0.0,46.0,1.0,17.42,2.45,1.0,0
216,10.0,3.19,82559.35,1.0,0.0,1.0,1.0,0.0,29.0,5.0,12.72,1.07,2.0,0
217,1.0,6.88,13127.76,2.0,1.0,1.0,0.0,0.0,33.0,5.0,5.82,3.33,1.0,0
218,4.0,5.65,57178.06,1.0,1.0,1.0,0.0,1.0,26.0,5.0,6.36,3.44,5.0,0
219,2.0,1.95,20859.46,1.0,0.0,1.0,0.0,0.0,31.0,3.0,11.84,0.56,2.0,0
220,1.0,5.48,127242.07,2.0,1.0,1.0,0.0,0.0,53.0,2.0,7.36,3.84,2.0,0
221,10.0,4.55,107717.81,0.0,0.0,1.0,0.0,0.0,58.0,3.0,7.36,1.47,2.0,0
222,2.0,4.99,106729.39,0.0,1.0,1.0,1.0,0.0,60.0,2.0,15.68,0.26,2.0,0
223,3.0,0.4,122398.75,1.0,0.0,0.0,0.0,0.0,54.0,4.0,13.18,0.12,4.0,0
224,1.0,1.46,54209.62,1.0,0.0,0.0,1.0,0.0,40.0,4.0,11.49,10.53,2.0,0
225,10.0,2.96,19972.5,1.0,1.0,0.0,0.0,0.0,36.0,5.0,9.82,11.34,3.0,0
226,7.0,2.94,16001.81,1.0,1.0,1.0,0.0,0.0,3.0,5.0,12.76,0.06,3.0,0
227,8.0,27.0,28612.21,1.0,0.0,1.0,0.0,0.0,37.0,5.0,11.71,0.74,2.0,0
228,5.0,7.58,121129.5,0.0,1.0,1.0,0.0,1.0,44.0,1.0,14.14,13.85,3.0,0
229,4.0,1.4,28212.21,1.0,1.0,0.0,0.0,0.0,22.0,0.0,6.11,4.79,2.0,0
230,5.0,1.2,24894.43,1.0,1.0,0.0,0.0,0.0,3.0,3.0,9.76,3.43,1.0,0
231,4.0,0.36,3211.55,0.0,0.0,0.0,0.0,1.0,3.0,6.0,23.59,10.73,2.0,0
232,9.0,9.91,54891.48,0.0,0.0,1.0,1.0,0.0,20.0,7.0,6.38,1.8,5.0,0
233,6.0,7.91,67162.01,1.0,0.0,0.0,0.0,1.0,45.0,3.0,6.91,2.48,4.0,0
234,7.0,20.42,86573.41,1.0,1.0,0.0,0.0,0.0,56.0,1.0,6.37,3.04,4.0,0
235,1.0,3.79,41582.1,1.0,0.0,1.0,0.0,1.0,53.0,4.0,13.32,5.1,5.0,0
236,5.0,4.66,86191.05,1.0,0.0,1.0,0.0,0.0,23.0,0.0,15.04,1.37,5.0,0
237,7.0,17.15,108418.95,0.0,1.0,1.0,1.0,0.0,37.0,4.0,7.33,1.23,3.0,1
