CustomerID,Age,TenureMonths,MonthlyCharges,TotalSpend,SupportCalls,AvgWatchHours,DaysSinceLastLogin,PaymentDelayDays,NumberOfDevices,ContractType,InternetPlan,HasFamilyPlan,AutoPayment,SatisfactionScore,Churn,InternalReference
50353,47,38,1202.38,36593.58,2,17.95,7.5,4.43,4,Monthly,Basic,Yes,No,4.0,0,696388
50299,22,9,2617.75,22478.27,5,17.08,16.88,2.4,3,Monthly,Standard,No,Yes,7.0,0,440920
51032,57,59,811.22,,3,13.34,4.12,2.08,5,Monthly,Standard,Yes,No,5.0,0,761874
50425,52,9,2616.58,5899.6,4,11.68,2.77,0.57,5,Monthly,Standard,No,Yes,3.0,0,115568
50989,31,46,1754.12,76158.71,1,19.43,2.12,1.39,3,OneYear,Basic,No,No,7.0,0,413402
50332,33,46,,120769.12,6,10.93,20.62,1.75,1,Monthly,Basic,No,No,8.0,0,553245
50045,38,51,,138876.35,6,16.52,1.56,1.88,4,OneYear,Standard,No,Yes,2.0,0,672945
50535,27,55,1486.13,76643.98,3,6.87,,4.56,4,TwoYear,Premium,Yes,Yes,7.0,0,258328
50108,61,23,1367.79,24098.78,3,13.51,3.31,0.51,3,Monthly,Standard,Yes,Yes,7.0,0,128498
50372,52,7,1230.45,1298.32,1,13.27,3.4,2.72,1,Monthly,Standard,Yes,No,1.0,0,874088
50606,26,9,2217.51,19979.74,4,10.65,9.82,4.72,3,OneYear,Standard,No,Yes,10.0,0,160390
50903,46,15,,46289.27,4,10.63,4.28,0.11,2,Monthly,Standard,No,Yes,8.0,0,617220
50079,27,48,894.8,30920.65,1,17.11,9.77,1.11,5,OneYear,Standard,Yes,No,2.0,0,571633
51140,51,51,2299.87,,1,13.91,12.48,3.38,2,Monthly,Standard,Yes,Yes,3.0,0,654159
50618,40,60,2494.88,143847.02,3,19.33,1.76,0.05,3,TwoYear,Standard,Yes,Yes,7.0,0,201678
50077,61,44,713.09,32212.97,2,14.28,0.39,10.31,4,TwoYear,Standard,No,Yes,7.0,0,803227
50773,53,30,1944.71,53816.67,2,11.83,4.41,4.0,3,OneYear,Basic,No,No,3.0,0,213554
50045,38,51,,138876.35,6,16.52,1.56,1.88,4,OneYear,Standard,No,Yes,2.0,0,471574
50644,24,26,1888.09,61550.95,2,21.51,0.97,0.0,3,Monthly,Basic,No,Yes,7.0,0,382961
50970,43,31,1780.34,58128.41,2,22.39,1.54,2.25,3,Monthly,Basic,Yes,Yes,3.0,0,170304
50114,25,40,689.23,19615.86,4,14.06,3.43,1.1,2,TwoYear,Standard,Yes,Yes,3.0,0,243207
50436,63,40,2469.51,96855.88,0,15.31,4.63,10.53,5,TwoYear,Standard,No,Yes,7.0,0,761798
50266,43,55,1305.27,56223.84,0,12.01,60.0,0.87,3,Monthly,Standard,No,Yes,3.0,0,658434
50574,46,53,,80161.47,5,8.6,3.78,1.9,2,TwoYear,Standard,No,Yes,7.0,0,927418
51081,28,29,2028.0,77813.59,3,8.79,4.52,0.19,4,Monthly,Premium,No,No,5.0,0,554959
51085,62,32,980.99,33461.93,3,13.21,0.08,2.94,1,OneYear,Basic,No,Yes,5.0,0,169128
51070,45,13,1771.18,27084.39,4,13.89,1.94,1.04,1,OneYear,Premium,No,No,4.0,0,985168
50479,59,25,,62909.47,3,19.88,14.4,3.01,2,OneYear,Standard,No,No,9.0,0,834701
50241,49,47,3525.41,153250.26,5,9.89,11.1,1.19,4,OneYear,Standard,Yes,Yes,4.0,0,121045
50193,50,19,1159.53,28490.93,4,9.86,4.78,0.63,5,TwoYear,Standard,Yes,Yes,2.0,0,910701
50421,56,59,610.81,44481.23,4,7.01,10.6,7.24,2,Monthly,Standard,Yes,No,6.0,0,613339
50790,46,41,1278.17,46373.48,1,8.3,4.54,0.16,2,Monthly,Basic,No,No,8.0,0,990977
50887,35,21,2635.77,51600.96,5,7.56,2.58,3.79,5,Monthly,Premium,No,Yes,6.0,1,591414
50298,29,30,1771.94,49586.81,2,8.05,7.18,6.63,5,Monthly,Standard,No,No,4.0,0,371592
50865,18,41,732.84,29914.99,3,11.48,6.36,0.58,2,Monthly,Standard,Yes,Yes,4.0,0,130961
50592,68,45,1968.87,86129.78,4,13.17,2.85,1.29,3,OneYear,Basic,No,Yes,1.0,0,665120
50082,48,56,1309.92,55174.31,6,7.14,7.97,1.81,2,Monthly,Premium,No,No,10.0,0,962687
51166,35,5,1667.41,11156.79,1,10.27,29.05,2.19,2,OneYear,Basic,No,Yes,5.0,0,412860
50746,53,59,,146895.78,3,9.45,5.16,4.02,5,Monthly,Basic,No,Yes,3.0,0,861090
50050,42,43,2114.46,90023.26,3,11.66,7.54,0.53,2,Monthly,Premium,Yes,Yes,7.0,0,280529
50351,39,37,2322.06,78352.5,1,9.19,12.83,1.92,5,Monthly,Standard,No,Yes,2.0,0,621848
50679,34,14,675.54,12209.27,3,12.43,11.37,3.4,1,OneYear,Premium,Yes,Yes,2.0,0,803903
50411,44,33,1994.59,78678.34,3,19.18,5.09,0.89,1,Monthly,Standard,No,No,5.0,0,460396
50904,21,34,1427.91,,2,14.93,0.36,12.41,4,TwoYear,Basic,No,No,4.0,0,220003
50324,52,2,1863.03,29047.69,2,21.59,16.76,2.61,2,Monthly,Basic,Yes,No,3.0,1,422682
50932,20,53,1802.16,86324.1,3,8.19,12.33,0.32,1,Monthly,Premium,No,No,8.0,0,329942
50988,43,57,2329.24,124883.07,0,13.2,1.25,6.41,2,Monthly,Premium,Yes,No,8.0,0,550961
50363,47,31,1461.33,58601.35,3,7.77,0.33,0.1,3,Monthly,Basic,No,No,7.0,0,295149
50345,34,42,2249.18,116841.11,6,8.8,14.23,2.4,4,TwoYear,Basic,Yes,Yes,7.0,0,461741
50071,23,33,1884.35,66702.44,2,8.42,1.34,5.36,4,Monthly,Basic,No,No,1.0,0,458659
50910,41,18,2300.96,62617.16,5,15.02,2.79,9.33,4,Monthly,Standard,No,No,,0,383655
50024,19,38,2113.87,81590.89,2,8.31,6.18,1.95,2,TwoYear,Basic,Yes,Yes,2.0,0,487612
50102,18,37,2187.15,74588.15,4,9.63,0.71,2.67,3,Monthly,Basic,No,No,3.0,1,129236
50707,23,8,2655.26,310.11,6,11.05,0.09,6.4,4,Monthly,Standard,Yes,No,9.0,0,603951
50059,24,8,2038.42,18625.85,6,17.38,2.08,0.82,2,OneYear,Premium,Yes,No,5.0,0,461561
50645,45,41,2520.08,90263.36,0,26.33,14.51,2.87,3,Monthly,Standard,No,Yes,4.0,0,363277
51122,54,24,2200.46,63594.94,2,18.42,0.98,3.51,3,Monthly,Standard,Yes,Yes,5.0,0,972347
51106,60,33,1741.88,47981.41,1,15.56,8.21,0.07,5,OneYear,Basic,No,Yes,4.0,0,539449
50362,38,57,1903.39,103441.94,0,12.85,9.99,0.36,5,OneYear,Premium,No,No,1.0,0,457417
51165,42,37,1949.73,65030.0,3,19.87,3.02,11.94,2,OneYear,Basic,Yes,No,,0,805559
50219,69,46,3309.02,164802.57,1,15.88,12.48,11.65,5,Monthly,Basic,No,No,8.0,0,891084
50297,65,38,964.86,40669.34,3,11.63,9.44,0.98,2,Monthly,Standard,No,No,2.0,0,953473
50965,64,18,991.06,5027.5,2,11.65,0.13,0.26,3,Monthly,Premium,Yes,No,8.0,0,800708
50482,34,59,1687.37,93739.08,2,7.61,6.11,0.5,1,Monthly,Basic,No,Yes,5.0,0,677963
50232,40,57,1634.55,103333.41,5,5.26,0.64,0.24,5,Monthly,Basic,No,Yes,3.0,0,729661
50765,33,51,2864.98,140531.32,2,20.19,0.14,3.55,1,Monthly,Standard,No,No,5.0,0,213766
50948,23,9,1816.2,12485.3,4,17.61,19.33,0.57,5,TwoYear,Standard,Yes,Yes,8.0,0,838483
50902,22,38,1277.05,46051.95,4,13.41,8.72,4.81,3,Monthly,Premium,Yes,Yes,7.0,0,885290
50052,67,5,2267.89,4922.63,6,15.85,1.89,0.62,1,TwoYear,Standard,Yes,Yes,7.0,0,609957
50582,52,10,2138.4,7177.36,2,2.39,18.02,0.84,1,TwoYear,Standard,Yes,No,8.0,0,968618
51027,64,44,2883.6,121363.81,3,12.57,15.52,2.41,3,Monthly,Standard,No,No,4.0,0,514031
50554,49,55,,122179.73,4,17.08,16.71,1.21,3,TwoYear,Basic,Yes,Yes,4.0,0,910226
50486,54,26,1031.5,24686.58,1,13.67,0.72,5.51,5,Monthly,Standard,Yes,No,8.0,0,112392
51167,57,38,721.83,38500.5,2,7.81,2.72,7.88,5,Monthly,Standard,No,Yes,4.0,0,195363
50110,41,1,2077.79,22496.04,3,3.31,1.12,0.12,5,TwoYear,Standard,Yes,Yes,1.0,0,140348
50619,49,6,2182.07,,4,7.54,6.36,0.62,4,TwoYear,Basic,Yes,Yes,7.0,0,977473
50124,26,53,1747.4,82859.42,3,12.63,3.73,6.12,1,Monthly,Basic,No,Yes,2.0,0,674382
50055,19,10,1259.86,11875.13,1,21.83,2.04,0.29,2,OneYear,Premium,Yes,Yes,10.0,0,756568
50918,65,25,1948.27,52251.93,2,11.87,14.49,0.18,4,Monthly,Basic,No,No,8.0,0,909191
50711,56,26,1124.15,24059.36,1,19.48,12.4,0.23,4,Monthly,Basic,No,No,7.0,0,521440
50129,65,25,2644.31,47207.93,6,13.53,1.0,6.51,4,OneYear,Basic,Yes,No,3.0,0,534500
50057,45,38,2503.6,104426.37,4,18.25,1.45,0.29,5,OneYear,Standard,Yes,Yes,8.0,0,626259
50087,40,28,1841.4,43115.33,2,6.41,5.12,0.3,1,OneYear,Premium,Yes,Yes,6.0,0,840694
50716,56,48,1900.34,88409.22,3,14.22,6.31,2.45,1,OneYear,Standard,No,Yes,7.0,0,782784
50927,25,52,,,2,16.63,18.71,1.02,4,Monthly,Standard,No,No,5.0,0,329819
50276,56,48,,69706.12,3,12.5,,0.5,3,Monthly,Standard,Yes,No,2.0,0,624680
51183,19,25,1543.64,50752.42,6,11.27,0.68,2.82,1,Monthly,Standard,No,No,7.0,0,339823
50448,39,38,1179.77,66670.66,2,8.29,2.72,12.73,3,Monthly,Premium,Yes,Yes,6.0,0,726978
50171,46,28,1029.45,,1,13.91,2.63,4.15,4,Monthly,Premium,Yes,Yes,3.0,0,403541
50882,55,17,1292.31,11655.3,4,14.07,2.45,2.37,1,Monthly,Standard,Yes,No,2.0,0,783168
50911,22,15,2094.97,9391.62,4,3.91,16.5,1.6,4,OneYear,Standard,No,Yes,8.0,0,803374
51134,22,15,1654.77,34952.88,2,13.28,2.0,2.33,4,OneYear,Basic,No,No,7.0,0,158529
50322,65,9,3005.49,38665.49,3,20.4,23.75,0.04,1,TwoYear,Basic,No,Yes,7.0,0,818237
50561,50,13,1118.59,15351.56,2,11.71,1.66,0.39,1,Monthly,Standard,No,No,9.0,0,595762
50433,37,1,3102.92,17377.1,4,18.86,21.07,1.63,2,Monthly,Premium,No,Yes,,1,211036
50429,30,9,3349.98,38451.5,3,19.6,0.25,1.3,3,TwoYear,Standard,No,No,4.0,0,846081
50637,66,51,1518.55,63379.09,6,9.71,7.39,0.17,3,Monthly,Basic,No,Yes,9.0,0,479843
50981,43,11,2310.08,39391.26,5,6.61,12.18,2.21,1,Monthly,Basic,Yes,Yes,6.0,1,139232
50893,69,6,1705.32,16430.14,1,17.7,8.33,0.59,2,Monthly,Basic,Yes,No,9.0,0,192393
50650,64,6,2383.96,-712.76,2,13.64,10.47,1.13,3,Monthly,Standard,No,Yes,10.0,0,259742
51132,48,36,2893.58,103168.27,3,9.04,5.8,3.05,4,Monthly,Standard,Yes,Yes,2.0,0,330803
51024,35,34,,93479.57,2,6.72,45.79,5.03,3,OneYear,Standard,No,Yes,6.0,0,585334
50414,43,47,1025.58,,2,12.45,14.0,2.74,5,Monthly,Basic,No,No,1.0,0,390539
50739,62,24,1254.59,35039.4,4,17.15,22.77,8.47,3,TwoYear,Standard,No,Yes,5.0,0,900005
50462,61,47,500.0,32683.32,2,11.02,8.89,5.01,5,Monthly,Basic,Yes,Yes,2.0,0,435949
50434,18,25,3120.63,92069.2,4,12.71,6.02,0.63,5,Monthly,Premium,No,No,7.0,0,482617
50876,38,14,2073.37,26991.11,2,2.63,15.1,1.18,1,Monthly,Basic,No,Yes,2.0,0,937886
50781,53,29,3674.68,110808.2,1,10.44,8.92,1.77,3,Monthly,Basic,No,Yes,5.0,0,438860
50378,46,28,2152.03,66702.99,5,8.34,0.75,1.59,3,Monthly,Standard,No,Yes,6.0,0,989424
50287,59,11,1525.9,3628.12,3,6.11,3.96,1.36,2,Monthly,Standard,No,Yes,10.0,0,262602
50895,50,57,3433.27,191190.53,0,14.09,9.11,4.31,5,OneYear,Standard,Yes,Yes,8.0,0,577516
50877,31,20,1978.69,29897.48,2,6.21,4.28,0.49,5,OneYear,Basic,No,Yes,7.0,0,797924
50234,49,3,,6634.53,3,11.84,5.47,4.86,3,Monthly,Basic,No,Yes,4.0,0,580474
50763,27,58,1178.3,49604.97,3,18.05,18.11,0.54,1,Monthly,Premium,Yes,Yes,9.0,0,152828
50813,38,29,1694.58,50023.91,7,10.99,0.44,0.49,2,Monthly,Premium,No,No,7.0,0,214050
51042,51,12,1810.51,21492.54,4,15.96,4.23,1.33,5,Monthly,Standard,Yes,Yes,,0,543709
50725,58,32,1645.86,66510.4,1,10.65,5.64,6.03,5,Monthly,Standard,No,No,4.0,0,931893
50901,34,60,1513.03,86261.25,2,11.09,8.16,2.35,5,Monthly,Premium,No,Yes,8.0,0,578524
50846,18,11,1188.61,12182.32,4,8.03,9.37,1.1,5,Monthly,Premium,Yes,Yes,10.0,0,155237
50993,64,54,2165.57,117239.1,3,3.74,2.96,2.93,4,OneYear,Standard,Yes,Yes,6.0,0,764694
51012,43,52,1575.94,62357.42,3,7.18,3.26,0.34,2,TwoYear,Basic,Yes,No,6.0,0,837950
50717,20,13,2835.36,19862.42,2,14.06,1.27,0.97,4,OneYear,Standard,No,Yes,9.0,0,778067
50267,20,48,2011.71,108745.05,4,6.7,1.51,1.68,4,Monthly,Standard,No,Yes,10.0,0,769716
50200,56,2,815.0,1431.57,2,6.15,7.33,0.71,1,TwoYear,Basic,Yes,Yes,,0,326468
50175,24,1,1268.67,3120.71,2,11.45,13.46,0.4,2,Monthly,Basic,Yes,Yes,8.0,0,289519
50359,44,22,583.59,15506.16,3,6.8,20.65,5.81,1,Monthly,Basic,No,Yes,6.0,0,980574
50148,31,7,933.53,4843.54,4,21.86,,1.24,1,OneYear,Premium,Yes,Yes,2.0,0,333980
51093,50,37,1037.64,24979.83,2,1.95,1.09,0.19,3,OneYear,Standard,No,Yes,7.0,0,934373
50947,38,36,1855.23,64560.77,1,9.65,21.15,1.3,2,OneYear,Standard,No,No,3.0,0,770875
50443,45,37,2463.48,95997.91,2,15.75,14.44,4.59,5,Monthly,Standard,No,No,10.0,0,666999
50708,48,59,3024.71,185444.64,3,16.25,1.49,3.05,3,TwoYear,Standard,Yes,Yes,1.0,0,901911
50399,59,39,1624.67,67785.43,6,17.51,3.85,0.72,4,Monthly,Standard,No,Yes,4.0,0,682763
50719,30,5,3403.62,-5368.45,1,17.6,17.04,1.91,4,OneYear,Standard,No,Yes,6.0,0,112854
50515,45,39,866.79,23645.05,2,8.84,5.36,2.3,4,Monthly,Standard,Yes,No,5.0,0,356803
51186,57,2,2296.75,5419.65,4,13.3,7.95,3.37,2,Monthly,Standard,No,No,2.0,0,352790
50328,63,9,2709.17,29358.29,1,13.32,9.01,2.13,3,OneYear,Standard,No,Yes,10.0,0,376981
50874,32,2,979.19,10530.2,1,8.61,13.79,6.23,5,Monthly,Premium,No,Yes,2.0,0,727566
50771,25,43,2623.32,110816.53,4,20.26,34.13,1.03,5,Monthly,Standard,No,No,10.0,0,754659
50169,32,54,663.87,40743.39,0,18.94,7.86,3.15,3,Monthly,Standard,Yes,No,,0,886270
50210,41,8,2207.68,19640.34,3,11.71,3.58,5.67,3,TwoYear,Basic,Yes,No,7.0,0,244331
51092,37,22,2233.95,44807.8,2,9.54,2.92,3.7,2,Monthly,Premium,No,No,2.0,0,169981
50136,39,27,1589.37,51609.6,2,9.22,4.49,0.22,5,OneYear,Standard,No,Yes,3.0,0,280482
50185,61,30,2286.5,81878.53,2,10.87,5.96,5.97,1,Monthly,Standard,No,Yes,2.0,0,318711
50721,45,17,1726.13,34498.95,3,16.88,14.64,5.16,2,Monthly,Standard,No,Yes,8.0,0,234753
50465,56,24,,9808.92,2,19.47,15.87,0.2,4,TwoYear,Standard,Yes,Yes,10.0,0,682523
50693,55,12,2043.27,47432.28,2,18.55,,0.11,2,Monthly,Standard,No,Yes,5.0,0,907831
50159,56,28,2020.07,66252.29,3,10.42,16.24,5.58,2,Monthly,Standard,No,No,5.0,0,502791
50141,54,59,2362.03,135434.42,1,5.57,9.56,1.74,3,TwoYear,Basic,No,Yes,6.0,0,630775
50428,41,53,1214.97,70985.01,5,10.33,1.88,3.42,2,Monthly,Basic,No,No,3.0,0,179792
50992,20,16,870.33,4831.05,4,5.34,1.99,1.71,3,TwoYear,Basic,Yes,No,4.0,0,434456
50529,56,34,2065.64,56019.35,2,7.22,8.66,0.72,4,Monthly,Standard,Yes,No,9.0,0,553925
51147,46,18,1269.41,36546.87,3,11.08,4.84,1.09,3,Monthly,Basic,Yes,No,7.0,0,770528
50248,41,8,1105.38,,3,20.65,3.72,0.95,3,Monthly,Standard,No,No,5.0,0,312511
50382,58,60,1739.87,121609.3,0,11.76,0.76,1.39,1,Monthly,Standard,Yes,No,8.0,0,980733
50866,61,39,1968.65,68887.43,1,9.55,24.49,1.4,3,Monthly,Standard,No,Yes,2.0,0,807102
51095,66,56,1826.5,92199.49,2,21.04,15.61,0.55,4,Monthly,Basic,Yes,Yes,,0,569528
51010,56,33,808.45,38854.65,3,7.06,21.05,11.51,3,OneYear,Standard,Yes,Yes,,0,559780
51143,52,54,1786.18,92932.62,1,10.07,3.32,0.12,4,Monthly,Premium,Yes,No,4.0,0,333988
50364,50,6,1567.98,16569.28,4,15.04,3.91,0.33,5,Monthly,Basic,No,Yes,2.0,1,866271
50209,61,1,2152.62,3781.24,1,8.14,14.39,0.44,1,Monthly,Standard,Yes,No,4.0,1,360978
50983,40,51,2519.2,104838.94,1,15.11,6.83,1.25,5,Monthly,Basic,Yes,No,7.0,0,590976
50807,18,34,1124.92,56338.78,2,10.37,22.55,2.69,2,OneYear,Standard,No,Yes,2.0,0,687999
50164,47,17,500.0,-1946.21,3,12.39,17.59,12.27,2,OneYear,Basic,No,Yes,5.0,0,442794
50423,59,43,2976.76,125523.11,2,17.52,12.46,2.11,3,TwoYear,Standard,Yes,Yes,7.0,0,710125
50964,39,21,2758.8,55060.63,3,9.95,4.13,6.46,3,Monthly,Basic,No,Yes,2.0,0,511128
50157,68,22,2821.65,,4,10.76,15.43,2.93,1,OneYear,Standard,No,Yes,8.0,0,665057
50329,35,54,1113.36,69134.89,2,18.57,25.8,14.34,5,TwoYear,Premium,No,Yes,5.0,0,321600
51197,69,47,1398.99,56280.34,4,15.07,5.4,0.96,1,Monthly,Standard,No,No,4.0,0,125682
50221,56,60,2385.43,135108.75,2,18.19,7.51,1.08,4,Monthly,Standard,No,Yes,8.0,0,322580
50197,30,51,2719.81,130425.5,4,3.03,3.75,2.61,5,Monthly,Standard,Yes,No,5.0,0,761304
51001,52,50,,57999.26,2,10.77,23.59,0.36,4,Monthly,Basic,No,Yes,6.0,0,870444
50533,54,40,913.56,-3354.6,4,18.57,4.53,0.36,3,Monthly,Premium,Yes,No,9.0,0,714229
50295,19,5,500.0,-366.95,1,12.88,4.9,1.99,1,OneYear,Basic,No,No,4.0,0,219718
50199,20,50,,80831.21,1,10.37,3.92,0.16,5,TwoYear,Premium,No,No,8.0,0,975227
50368,22,12,2439.1,28635.27,5,8.7,1.15,4.52,2,Monthly,Standard,Yes,Yes,10.0,0,568341
50942,22,14,2290.52,6688.82,3,11.43,0.59,0.65,3,Monthly,Basic,No,No,1.0,0,433180
50558,29,30,1284.9,33382.35,5,12.3,16.59,2.86,5,TwoYear,Basic,Yes,Yes,5.0,0,905823
50653,52,54,1123.58,47528.58,7,5.4,3.0,3.25,1,Monthly,Basic,No,No,1.0,0,267046
50668,52,24,2021.89,35116.24,2,9.25,0.04,0.43,5,Monthly,Basic,No,Yes,10.0,0,415102
50291,43,23,1876.19,47489.72,3,1.0,10.78,3.28,2,Monthly,Premium,Yes,Yes,10.0,0,599966
50631,37,59,1826.57,99334.62,1,1.0,23.18,4.72,1,Monthly,Standard,No,Yes,4.0,0,379891
50990,68,32,3187.18,105310.57,3,1.76,18.87,0.24,3,TwoYear,Basic,No,Yes,,0,382676
50977,32,60,1199.09,79776.86,4,10.01,15.64,1.22,4,Monthly,Premium,No,Yes,1.0,0,904758
50539,69,15,1302.47,13223.07,2,24.99,11.58,0.49,2,Monthly,Basic,No,No,10.0,0,992160
50528,38,45,1906.62,87439.8,2,12.63,9.91,6.36,4,Monthly,Basic,No,Yes,1.0,0,690598
50097,62,22,2275.98,35846.04,1,14.37,25.56,0.46,2,OneYear,Standard,No,Yes,3.0,0,765624
50466,21,19,977.87,16791.48,4,11.2,15.41,0.65,3,Monthly,Basic,Yes,Yes,2.0,0,973108
50848,62,6,1194.47,11258.27,2,12.77,0.7,1.19,5,TwoYear,Premium,No,Yes,7.0,0,323626
50179,19,23,2521.74,59846.1,3,10.12,0.92,2.59,2,OneYear,Basic,No,No,2.0,0,330888
50032,44,56,3856.43,217844.55,2,24.26,0.31,13.58,3,TwoYear,Standard,Yes,Yes,1.0,0,698193
50837,54,29,2170.27,58632.65,2,7.59,9.26,2.46,5,OneYear,Standard,Yes,Yes,3.0,0,453599
50885,67,28,3701.16,109913.29,1,3.22,,1.07,2,TwoYear,Premium,No,Yes,2.0,0,555438
50917,60,46,1263.06,75735.84,1,17.42,3.89,2.45,1,OneYear,Basic,No,No,7.0,0,537747
50571,27,29,2631.7,82559.35,5,12.72,3.19,1.07,2,OneYear,Standard,No,Yes,10.0,0,963376
50245,28,33,500.0,13127.76,5,5.82,6.88,3.33,1,Monthly,Premium,Yes,Yes,1.0,0,660030
50334,53,26,1494.76,57178.06,5,6.36,,3.44,5,TwoYear,Standard,Yes,Yes,4.0,0,411211
51198,32,31,633.37,20859.46,3,11.84,1.95,0.56,2,Monthly,Standard,No,Yes,2.0,0,691413
50753,66,53,2340.42,127242.07,2,7.36,5.48,3.84,2,Monthly,Premium,Yes,Yes,1.0,0,117909
50089,38,58,1482.03,107717.81,3,7.36,4.55,1.47,2,Monthly,Basic,No,Yes,10.0,0,623319
51002,68,60,1897.84,106729.39,2,15.68,4.99,0.26,2,OneYear,Basic,Yes,Yes,2.0,0,618723
50383,54,54,2368.88,122398.75,4,13.18,0.4,0.12,4,Monthly,Standard,No,No,3.0,0,868304
50366,64,40,1684.81,54209.62,4,11.49,1.46,10.53,2,OneYear,Standard,No,No,1.0,0,417072
51136,67,36,911.42,19972.5,5,9.82,2.96,11.34,3,Monthly,Standard,Yes,No,10.0,0,412751
51059,20,3,2269.15,16001.81,5,12.76,2.94,0.06,3,Monthly,Standard,Yes,Yes,7.0,0,450710
50599,46,37,967.69,28612.21,5,11.71,27.0,0.74,2,Monthly,Standard,No,Yes,8.0,0,979794
50579,19,44,2383.67,121129.5,1,14.14,7.58,13.85,3,TwoYear,Basic,Yes,Yes,5.0,0,903906
50824,18,22,1467.01,28212.21,0,6.11,1.4,4.79,2,Monthly,Standard,Yes,No,4.0,0,941592
50591,51,3,1934.06,24894.43,3,9.76,1.2,3.43,1,Monthly,Standard,Yes,No,5.0,0,692251
50530,53,3,3068.05,3211.55,6,23.59,0.36,10.73,2,TwoYear,Basic,No,No,4.0,0,188950
51047,39,20,2537.53,54891.48,7,6.38,9.91,1.8,5,OneYear,Basic,No,Yes,9.0,0,511687
50550,33,45,1262.14,67162.01,3,6.91,7.91,2.48,4,TwoYear,Standard,No,No,6.0,0,748085
50674,64,56,1347.96,86573.41,1,6.37,20.42,3.04,4,Monthly,Standard,Yes,No,,0,853187
50921,64,53,651.81,41582.1,4,13.32,3.79,5.1,5,TwoYear,Standard,No,Yes,1.0,0,338074
50536,22,23,3207.01,86191.05,0,15.04,4.66,1.37,5,Monthly,Standard,No,Yes,5.0,0,593740
50011,28,37,2650.16,108418.95,4,7.33,17.15,1.23,3,OneYear,Basic,Yes,Yes,,1,256583
51089,43,6,1615.91,-11865.37,4,11.06,2.19,5.06,1,Monthly,Basic,No,No,5.0,1,442347
50940,36,25,1359.07,37881.9,4,15.61,0.41,2.83,4,Monthly,Premium,No,No,4.0,0,808902
50244,21,51,2170.79,131645.71,6,10.47,4.36,13.55,3,OneYear,Premium,Yes,Yes,5.0,0,309746
50060,61,23,2804.63,80342.16,2,17.24,5.98,5.89,2,OneYear,Standard,No,Yes,6.0,0,756343
51076,47,55,1381.53,67752.4,0,12.69,5.69,18.96,4,TwoYear,Standard,No,Yes,9.0,0,869044
