EmployeeID,Age,Gender,Department,JobLevel,YearsAtCompany,MonthlyIncome,Overtime,WorkLifeBalance,DistanceFromHome,NumCompaniesWorked,TrainingHours,PerformanceRating,SatisfactionScore,Attrition,BadgeNumber
10038,45,Female,Finance,1,7,,No,Fair,31,2,66.0,Average,10,No,662769
10039,34,Male,Finance,2,23,63511.0,No,,37,6,16.0,Average,1,No,295423
10040,29,Female,IT,2,34,65990.0,No,Fair,41,0,34.0,Average,10,No,283911
10041,46,Female,IT,5,13,101614.0,No,Poor,41,1,69.0,Average,5,Yes,426380
10042,22,Male,Marketing,1,13,22162.0,No,Excellent,34,1,45.0,High,1,No,966051
10043,40,Female,Sales,1,9,31375.0,No,Fair,34,3,24.0,Average,5,No,803647
10044,48,Male,Finance,1,11,36189.0,No,Good,3,2,10.0,Low,9,No,684594
10045,27,Female,Sales,1,33,56270.0,No,Excellent,17,2,79.0,High,5,No,340514
10046,28,Female,HR,1,9,,No,Excellent,14,9,8.0,High,2,No,649723
10047,55,Male,HR,3,16,71245.0,No,Excellent,14,4,14.0,Average,2,No,560837
10048,34,Male,Marketing,1,16,,Yes,Fair,38,2,55.0,Average,10,No,655125
10049,37,Female,Marketing,1,2,21176.0,No,Good,35,6,42.0,Low,9,No,860197
10050,56,Female,Sales,4,30,96086.0,No,,1,4,5.0,High,5,No,135495
10051,24,Female,Sales,2,0,41639.0,No,Good,29,3,12.0,Low,8,No,664048
10052,22,Male,Finance,2,11,46862.0,No,Excellent,4,2,67.0,Low,10,No,212489
10053,26,Female,IT,2,3,31977.0,Yes,Good,33,3,37.0,Average,4,Yes,122084
10054,24,Male,Sales,5,12,101766.0,No,Good,17,1,19.0,Average,2,No,268530
10055,49,Male,IT,1,33,46187.0,No,Good,28,0,35.0,Low,4,No,953033
10056,38,Female,IT,4,20,88500.0,No,Good,26,2,25.0,Average,4,No,683639
10057,46,Male,Marketing,3,21,80057.0,Yes,Excellent,8,1,7.0,Average,9,No,802921
10058,54,Female,Sales,1,3,22960.0,No,Poor,34,0,70.0,Average,10,No,881441
10059,30,Female,IT,5,17,112238.0,No,Good,18,0,39.0,Low,6,No,805563
10060,56,Female,IT,1,4,22819.0,Yes,Excellent,31,1,45.0,Average,10,No,329096
10061,34,Female,Finance,1,18,35442.0,Yes,Good,27,8,,Average,6,No,895252
10062,51,Female,IT,4,1,72873.0,Yes,Poor,16,4,20.0,High,5,No,157232
10063,35,Male,IT,3,11,64576.0,No,Good,10,8,60.0,Average,6,No,511973
10064,28,Male,Sales,3,16,63445.0,Yes,Fair,40,7,49.0,Average,1,No,408732
10065,34,Female,Finance,1,9,24165.0,Yes,Fair,12,5,63.0,Low,5,No,581898
10066,43,Female,IT,2,33,80937.0,No,Excellent,22,0,54.0,Low,6,No,108058
10067,41,Male,Sales,3,5,69529.0,Yes,Good,16,9,16.0,Average,8,No,450532
10068,36,Male,IT,2,7,48307.0,Yes,,12,4,16.0,Average,4,No,441798
10069,38,Male,Sales,2,10,57262.0,No,,11,0,37.0,Average,5,No,267814
10070,44,Male,Sales,1,11,31712.0,No,Good,20,6,53.0,Average,4,Yes,224063
10071,46,Female,Marketing,1,8,38054.0,No,Poor,1,9,25.0,Average,7,No,172195
10072,45,Female,IT,4,1,85526.0,No,Good,27,7,64.0,Average,10,No,288052
10073,49,Male,Finance,2,7,33999.0,No,Fair,3,7,56.0,High,6,No,170377
10074,35,Female,HR,5,10,103328.0,No,Excellent,12,6,58.0,Average,4,No,486301
10075,21,Male,Finance,2,9,47318.0,Yes,Fair,30,1,43.0,Average,6,No,773695
10076,45,Female,Sales,3,20,226365.0,Yes,Fair,18,4,53.0,Average,4,No,579057
10077,27,Male,HR,1,19,43751.0,No,Good,37,3,68.0,Average,8,No,300032
10078,29,Female,Marketing,2,7,44646.0,No,Fair,1,4,30.0,High,3,No,147501
10079,44,Male,Finance,1,28,47187.0,No,Fair,42,9,,High,8,No,418021
10080,21,Male,IT,2,11,49040.0,No,Good,4,8,11.0,Average,2,No,114538
10081,28,Female,HR,2,13,58827.0,No,Poor,15,3,76.0,Average,6,No,740147
10082,44,Male,Marketing,5,20,115095.0,Yes,Poor,27,7,66.0,Average,8,No,472956
10083,31,Female,IT,3,21,82961.0,Yes,Good,8,7,28.0,High,1,No,628057
10084,37,Female,Finance,1,20,40337.0,No,Good,23,1,44.0,Average,6,No,918018
10085,28,Male,Finance,1,29,166536.0,No,Good,30,5,51.0,Average,9,No,971983
10086,55,Female,Sales,1,19,33544.0,No,Good,27,4,12.0,Average,10,No,724902
10087,55,Female,Sales,2,23,60601.0,Yes,Good,31,1,58.0,Average,10,Yes,954311
10088,53,Female,IT,3,22,79783.0,No,Good,39,9,13.0,Average,2,No,152219
10089,25,Female,Sales,4,6,71541.0,No,Excellent,8,3,7.0,Average,1,No,921539
10090,59,Female,Sales,1,8,22618.0,Yes,Poor,30,6,58.0,Average,2,No,493899
10091,48,Male,Marketing,2,0,37878.0,No,Good,42,0,25.0,Low,5,No,715275
10092,27,Female,IT,2,25,66778.0,No,Excellent,18,8,52.0,High,6,No,428734
10093,29,Female,Finance,3,21,84038.0,Yes,Excellent,4,9,51.0,High,1,No,947529
10094,28,Female,IT,2,9,43196.0,No,Fair,43,0,72.0,High,7,No,320203
10095,32,Female,IT,3,5,60345.0,Yes,Fair,22,4,67.0,Average,4,No,818762
10096,54,Female,Sales,3,16,69168.0,No,Good,3,6,20.0,High,9,No,217290
10097,53,Male,HR,1,23,49836.0,Yes,Poor,15,7,78.0,Average,6,No,317006
10098,43,Female,HR,3,9,71944.0,No,Excellent,35,1,9.0,Average,9,No,516901
10099,44,Male,HR,1,7,29299.0,No,Good,38,3,15.0,Average,1,Yes,952316
10100,57,Male,Finance,3,20,84367.0,No,Good,33,1,33.0,Average,4,No,456570
10101,55,Male,HR,2,5,42194.0,No,Fair,14,3,74.0,Average,2,No,509578
10102,42,Male,IT,2,20,64833.0,No,Good,1,5,52.0,High,6,No,461470
10103,47,Female,HR,4,23,100052.0,No,Good,26,5,19.0,Low,4,No,100503
10104,55,Male,Sales,4,32,104250.0,No,Excellent,8,1,38.0,Average,9,No,796405
10105,21,Male,IT,4,17,93880.0,No,Poor,16,3,64.0,Average,3,No,603034
10106,55,Female,Sales,2,27,62428.0,No,Poor,38,3,66.0,Average,1,No,900008
10107,57,Female,Sales,3,31,105234.0,No,Good,10,0,6.0,Average,1,No,919722
10108,34,Female,Sales,2,11,47195.0,No,Fair,42,1,23.0,Average,9,No,291567
10109,23,Male,HR,4,26,107070.0,No,Good,37,2,53.0,High,9,No,898316
10110,21,Female,Finance,2,9,46725.0,No,Excellent,26,4,32.0,Average,5,No,544876
10111,25,Female,Sales,5,31,119798.0,Yes,Good,28,7,52.0,Average,2,No,754325
10112,46,Male,HR,4,25,90608.0,Yes,,12,5,41.0,Average,9,No,780565
10113,34,Female,IT,3,24,87294.0,Yes,Poor,20,2,78.0,High,8,No,950171
10114,59,Female,Sales,1,10,39296.0,No,Fair,14,5,53.0,High,10,No,746399
10115,47,Female,Marketing,1,22,39991.0,No,Poor,35,6,52.0,Average,10,No,887700
10116,29,Female,IT,4,33,101659.0,No,Fair,29,5,77.0,Average,6,No,953144
10117,35,Male,IT,1,22,42449.0,No,Excellent,12,9,33.0,Average,7,No,511232
10118,35,Female,IT,4,28,99977.0,No,Poor,18,5,64.0,High,6,No,161939
10119,46,Female,Sales,2,30,68098.0,No,Good,44,0,33.0,High,5,No,178281
10120,33,Male,IT,2,6,,Yes,Good,2,2,,Average,4,No,308569
10121,52,Female,HR,4,32,110097.0,Yes,Excellent,2,6,52.0,Average,7,No,988349
10122,59,Male,Marketing,3,20,73022.0,No,Fair,17,3,27.0,High,4,No,797072
10123,52,Female,Sales,2,1,40731.0,No,Fair,10,3,31.0,Average,10,No,227744
10124,24,Male,IT,2,17,60401.0,No,Poor,18,6,11.0,Average,10,No,204894
10125,50,Male,IT,2,32,72377.0,Yes,Good,22,8,53.0,Average,10,No,348160
10126,57,Male,Sales,3,33,94427.0,No,,19,1,58.0,Average,9,No,499984
10127,43,Male,HR,1,19,43923.0,Yes,Excellent,1,8,72.0,High,5,No,290286
10128,59,Female,Finance,4,34,115356.0,Yes,Good,24,2,46.0,Average,8,No,512188
10129,35,Male,Finance,4,17,92643.0,Yes,Good,36,5,78.0,Average,6,Yes,591841
10130,49,Female,HR,2,23,216585.0,Yes,Good,50,3,63.0,Average,4,No,304234
10131,56,Male,Finance,3,7,65896.0,Yes,,36,0,48.0,Low,3,No,687700
10132,33,Male,Marketing,2,29,68095.0,Yes,Good,31,8,30.0,Average,6,No,276353
10133,52,Male,Marketing,2,9,44131.0,No,Excellent,31,5,27.0,Average,1,No,783763
10134,27,Female,Sales,5,22,113051.0,Yes,Excellent,2,7,,Average,2,No,194568
10135,42,Male,Finance,1,10,33792.0,Yes,Excellent,19,1,12.0,Average,7,No,392370
10136,48,Female,HR,1,1,15463.0,Yes,Excellent,12,6,57.0,Average,4,No,936417
10137,22,Female,Marketing,2,25,63450.0,No,Fair,10,5,18.0,Average,5,No,784143
10138,26,Female,IT,2,32,80748.0,Yes,Fair,31,1,75.0,Average,10,No,567155
10139,48,Female,Sales,3,12,69549.0,No,Poor,22,1,11.0,High,1,No,994184
10140,48,Female,Finance,3,24,89991.0,No,Fair,23,3,,Average,2,No,588371
10141,40,Female,HR,3,3,62388.0,Yes,Fair,23,3,7.0,High,4,No,608062
10142,50,Female,Marketing,3,18,68539.0,No,,15,2,21.0,Average,8,No,299227
10143,31,Female,Marketing,1,17,37787.0,Yes,Good,26,7,48.0,High,10,No,622100
10144,48,Female,IT,2,29,76739.0,No,Excellent,3,6,50.0,High,4,No,166883
10145,45,Male,Sales,1,18,32266.0,No,Good,23,1,62.0,Average,3,No,221501
10146,59,Male,IT,1,22,46918.0,Yes,Excellent,20,2,32.0,High,3,Yes,914220
10147,53,Male,Sales,2,15,,Yes,Poor,40,9,18.0,High,5,Yes,723502
10148,21,Male,Sales,1,0,7471.0,No,Poor,39,8,13.0,Average,3,Yes,107166
10149,47,Male,Finance,1,11,31917.0,No,Good,8,4,30.0,Average,8,No,528435
10150,33,Female,Sales,1,23,40575.0,Yes,Fair,18,1,6.0,Average,5,No,820801
10151,23,Female,HR,4,33,104594.0,No,Fair,41,2,79.0,High,7,No,996731
10152,59,Female,Marketing,4,7,80454.0,No,Fair,6,7,38.0,Average,8,No,362547
10153,26,Female,HR,3,17,62814.0,No,Fair,27,3,23.0,Average,5,No,568785
10154,28,Female,HR,4,4,72754.0,Yes,Good,36,1,43.0,Low,8,No,127224
10155,47,Female,Marketing,3,25,99307.0,No,Good,15,1,17.0,Average,3,No,838970
10156,29,Female,Sales,3,29,92701.0,No,Good,37,5,9.0,Average,7,No,103485
10157,57,Male,Finance,1,12,27111.0,Yes,Good,5,7,54.0,Average,8,No,474199
10158,53,Male,Marketing,3,18,84024.0,No,Good,39,6,27.0,Average,7,No,437128
10159,44,Male,Marketing,3,28,81647.0,No,Fair,9,3,33.0,Average,2,No,689779
10160,35,Male,IT,3,2,53077.0,No,Fair,7,1,76.0,Low,8,No,579424
10161,52,Female,HR,3,25,77106.0,Yes,Fair,41,8,30.0,Average,6,No,965378
10162,52,Female,Sales,2,11,50736.0,No,Good,20,3,61.0,Average,10,No,376406
10163,44,Female,Finance,3,1,63411.0,No,Good,10,8,5.0,Average,3,No,979728
10164,32,Male,Marketing,4,10,78005.0,No,Good,26,4,32.0,Average,4,No,568586
10165,59,Female,IT,2,27,56037.0,Yes,Fair,4,6,66.0,Average,7,No,591031
10166,22,Female,Sales,3,17,,No,,38,4,51.0,Average,3,No,521144
10167,23,Female,Sales,2,12,59722.0,No,Good,24,1,,Low,1,No,883335
10168,57,Male,Sales,3,21,67229.0,Yes,Good,14,5,35.0,Average,6,No,294251
10169,37,Female,Finance,3,11,69960.0,No,Good,41,6,74.0,High,3,No,870570
10170,22,Male,IT,1,1,20559.0,No,Good,1,5,53.0,Average,10,No,841725
10171,22,Male,Marketing,3,6,56475.0,Yes,Good,17,2,,High,6,No,581595
10172,48,Male,Finance,1,25,39633.0,No,Good,24,9,35.0,High,10,No,228716
10173,43,Male,Sales,3,25,,No,Fair,27,7,41.0,Average,3,No,221774
10174,57,Female,IT,2,23,64674.0,Yes,Good,7,2,19.0,Average,6,No,396856
10175,52,Male,IT,3,11,68726.0,Yes,Fair,9,4,56.0,Average,4,No,578707
10176,53,Male,IT,1,15,32269.0,Yes,Poor,43,8,73.0,Average,4,Yes,658616
10177,21,Female,Finance,3,22,75588.0,Yes,Excellent,35,4,15.0,Average,10,No,262704
10178,39,Female,Finance,1,8,12870.0,No,Excellent,12,6,47.0,High,10,No,923947
10179,22,Male,Finance,4,31,107831.0,Yes,Poor,21,6,74.0,Low,2,No,424218
10180,46,Female,Sales,4,14,97432.0,No,Good,3,4,,High,4,No,303762
10181,52,Male,Sales,5,12,99058.0,No,Fair,15,1,44.0,Low,4,No,296019
10182,26,Male,Finance,3,4,49665.0,Yes,Good,21,4,67.0,High,7,No,521386
10183,52,Male,Sales,3,10,68613.0,No,Excellent,10,6,6.0,Average,5,No,933289
10184,24,Male,HR,1,9,32520.0,No,Excellent,33,6,77.0,Average,8,No,936176
10185,31,Female,Sales,2,12,46884.0,No,Good,6,3,51.0,Average,7,No,983131
10186,37,Male,IT,2,14,50707.0,Yes,Good,2,0,34.0,Average,10,No,832981
10187,58,Female,Sales,3,6,62783.0,Yes,,29,5,20.0,Average,9,No,323852
10188,44,Female,IT,4,27,103466.0,No,,40,2,63.0,High,8,No,105327
10189,25,Female,Marketing,1,31,61200.0,No,Excellent,33,4,51.0,Low,9,No,816606
10190,54,Female,Sales,4,34,127423.0,No,Excellent,4,3,34.0,High,1,No,182675
10191,26,Male,Sales,3,14,,No,Good,4,1,13.0,Average,10,No,322483
10192,42,Female,HR,3,20,85378.0,Yes,Fair,29,6,69.0,High,3,No,395408
10193,31,Male,Marketing,1,5,24631.0,No,Fair,37,4,63.0,Average,5,No,440740
10194,36,Female,Sales,1,0,26329.0,Yes,Poor,20,6,68.0,Average,9,No,774165
10195,53,Female,HR,2,3,43946.0,Yes,Excellent,41,8,12.0,High,8,No,855262
10196,29,Male,Sales,3,10,66366.0,No,Good,23,3,56.0,Average,10,No,653143
10197,26,Male,Finance,1,25,52560.0,Yes,Fair,18,4,22.0,Average,7,No,890559
10198,36,Male,IT,2,22,60035.0,No,Good,25,8,62.0,Low,2,Yes,221704
10199,49,Female,Finance,4,28,100954.0,No,Excellent,1,9,53.0,Average,6,No,400463
10200,23,Female,Marketing,4,20,100865.0,Yes,Fair,15,3,36.0,Average,4,No,955558
10201,40,Male,Sales,4,26,98134.0,No,Excellent,34,4,52.0,Average,5,No,899405
10202,56,Male,Finance,2,12,54254.0,No,Excellent,20,4,49.0,Average,5,No,313453
10203,39,Male,Sales,2,22,62584.0,No,Excellent,37,7,58.0,Average,4,No,596486
10204,46,Male,Marketing,3,15,58023.0,Yes,Good,27,3,50.0,Average,4,No,279159
10205,23,Female,IT,2,29,67353.0,Yes,Fair,22,3,35.0,Average,4,No,550927
10206,39,Male,Marketing,1,3,23609.0,No,Good,5,6,41.0,Average,2,No,127281
10207,40,Male,Sales,1,15,33563.0,Yes,Fair,34,4,20.0,High,1,No,247621
10208,52,Male,Sales,2,30,56719.0,Yes,Fair,39,5,50.0,High,2,No,226566
10209,27,Male,HR,1,24,54724.0,No,Good,3,5,50.0,Low,7,No,947858
10210,53,Female,HR,2,11,50216.0,Yes,Good,17,5,65.0,High,1,No,651911
10211,59,Male,Sales,1,25,50662.0,No,Excellent,24,9,50.0,Average,6,No,855392
10212,38,Female,HR,1,32,160680.0,Yes,Poor,48,4,55.0,Average,4,No,713904
10213,21,Male,Sales,3,27,89588.0,No,Good,3,4,66.0,Average,2,No,235769
10214,31,Male,IT,3,8,74608.0,No,Good,7,8,39.0,Average,3,No,377874
10215,48,Female,Finance,3,11,62789.0,Yes,Good,25,7,46.0,Average,7,No,259317
10216,45,Male,IT,1,4,32802.0,Yes,Excellent,3,3,49.0,Average,6,No,131313
10217,43,Female,Sales,1,27,52791.0,No,Good,15,6,72.0,Low,6,No,839453
10218,51,Female,IT,3,34,89583.0,No,Excellent,29,7,79.0,Average,8,No,952005
10219,50,Male,Sales,3,4,72074.0,No,Fair,29,8,51.0,Low,8,No,153595
10220,55,Female,Marketing,2,33,77949.0,Yes,Good,10,4,34.0,Average,6,No,654196
10221,27,Female,Sales,2,33,79658.0,Yes,Poor,32,2,28.0,Average,1,No,992222
10222,36,Female,Finance,4,12,84783.0,No,Poor,23,3,70.0,Average,10,No,926080
10223,46,Female,Marketing,2,13,46822.0,No,Fair,39,9,47.0,Low,7,No,485757
10224,22,Female,Finance,2,10,49006.0,No,Fair,9,5,38.0,Average,8,No,661577
10225,21,Female,IT,3,3,67088.0,No,Fair,37,9,27.0,Average,5,No,293782
10226,32,Female,Finance,2,32,72542.0,No,Fair,40,4,65.0,High,4,No,239911
10227,25,Female,Marketing,2,6,43039.0,No,Poor,14,8,41.0,High,7,No,196541
10228,57,Male,IT,2,7,53137.0,Yes,Excellent,4,2,17.0,Average,6,No,824198
10229,52,Male,IT,3,9,62998.0,No,Poor,20,1,75.0,Average,6,No,763871
10230,29,Female,IT,1,14,37861.0,No,Good,28,5,11.0,Low,3,No,186527
10231,55,Male,IT,1,14,40064.0,Yes,Fair,14,6,46.0,High,10,No,754856
10232,39,Female,IT,2,4,39619.0,No,Excellent,44,4,42.0,Average,4,No,466816
10233,36,Female,IT,4,28,107459.0,No,Excellent,34,0,56.0,Low,5,No,995481
10234,23,Male,Sales,1,18,43566.0,No,Good,13,2,48.0,Average,9,No,755160
10235,40,Female,Sales,5,9,98394.0,No,Good,31,2,68.0,Low,8,No,241020
10236,44,Female,Sales,2,11,54094.0,No,Poor,33,3,17.0,Average,3,No,668926
10237,53,Female,Sales,5,3,90318.0,Yes,Excellent,39,9,32.0,Average,6,No,849250
10238,44,Female,Sales,4,30,103949.0,No,Excellent,28,5,5.0,Average,10,No,761233
10239,31,Male,IT,2,17,47237.0,No,Excellent,25,4,47.0,Average,1,No,786821
10240,28,Female,HR,1,15,32979.0,No,Good,32,0,46.0,Average,3,No,304106
10241,56,Female,Finance,1,24,41906.0,Yes,Fair,9,5,54.0,Average,10,No,451236
10242,58,Female,Sales,1,22,41994.0,Yes,Excellent,28,8,64.0,Average,7,No,591358
10243,40,Male,Sales,3,11,70871.0,No,Fair,31,0,5.0,High,7,No,127091
10244,55,Female,Finance,1,33,47245.0,No,Good,17,7,55.0,Average,2,No,957603
10245,45,Male,IT,2,2,26551.0,No,Poor,23,7,20.0,Average,3,No,808359
10246,55,Male,Sales,2,8,41105.0,No,Excellent,13,2,43.0,Average,7,No,879177
10247,45,Female,Marketing,4,17,95167.0,No,Fair,10,8,19.0,Average,6,No,919964
10248,49,Female,Marketing,1,34,60533.0,No,Fair,16,7,,Average,7,No,515906
10249,38,Male,HR,1,33,53009.0,No,Good,6,2,57.0,Average,10,No,379180
10250,38,Female,HR,1,13,40616.0,No,Good,11,9,21.0,Average,9,No,407184
10251,22,Male,Marketing,4,3,71649.0,No,Good,3,4,10.0,Average,8,No,549412
10252,55,Male,IT,3,28,90374.0,No,Fair,28,2,35.0,Average,6,No,275634
10253,36,Female,IT,1,14,32623.0,No,Poor,41,4,73.0,Average,4,No,896753
10254,56,Female,Finance,1,27,45187.0,No,Good,15,8,44.0,Average,10,No,129152
10255,53,Male,HR,1,15,32369.0,Yes,Excellent,13,3,34.0,Average,9,No,710172
10256,24,Male,IT,1,11,35604.0,No,Excellent,42,5,73.0,Low,7,No,448675
10257,53,Male,Sales,4,4,78966.0,Yes,Good,17,2,11.0,Average,5,No,417055
10258,34,Male,Finance,3,33,99408.0,No,Excellent,7,2,17.0,Low,2,No,976730
10259,41,Female,IT,2,0,38165.0,No,Good,28,4,8.0,Average,9,No,493361
10260,40,Female,IT,4,31,99532.0,No,Good,38,7,54.0,Average,7,No,694925
10261,28,Female,Sales,1,25,60686.0,No,Good,13,7,7.0,High,9,No,235319
10262,27,Female,Sales,3,16,75451.0,Yes,Good,17,2,16.0,High,9,No,431868
10263,23,Female,IT,4,26,106288.0,No,,15,7,69.0,Low,10,No,590526
10264,37,Male,Finance,2,23,61338.0,No,Good,36,7,31.0,Average,5,No,818649
10265,53,Female,IT,3,34,,No,Fair,28,2,54.0,Average,7,No,536763
10266,32,Female,Sales,1,25,41441.0,Yes,Fair,15,9,21.0,Average,5,No,620108
10267,42,Female,Marketing,1,22,48058.0,No,Poor,11,9,76.0,High,3,No,861904
10268,42,Female,Sales,1,21,30722.0,No,Good,31,1,36.0,Average,10,No,605710
10269,50,Female,Marketing,2,3,43663.0,No,Fair,4,9,55.0,High,8,No,512929
10270,58,Male,Sales,3,8,57122.0,No,Fair,35,1,21.0,Low,8,No,668837
10271,58,Male,IT,4,3,77261.0,No,Good,34,8,38.0,Average,9,No,274620
10272,28,Male,Sales,3,6,69344.0,No,Good,27,6,39.0,High,6,No,545849
10273,47,Female,Marketing,4,22,103336.0,No,Good,10,5,28.0,Average,2,No,982843
10274,47,Male,IT,4,1,80546.0,No,Good,30,6,58.0,High,3,No,321958
10275,54,Male,Sales,1,23,52325.0,Yes,Excellent,20,7,,Low,10,No,497857
10276,41,Female,HR,2,30,68854.0,No,Excellent,29,0,54.0,Average,6,No,433239
10277,50,Female,Sales,1,30,57589.0,No,Excellent,29,7,50.0,Average,1,No,477481
10278,53,Female,Sales,3,33,83250.0,Yes,Good,23,2,52.0,Low,2,No,529032
10279,48,Male,Marketing,4,23,95478.0,Yes,Fair,21,2,37.0,Average,8,No,626311
10280,53,Male,IT,1,25,56355.0,No,Excellent,43,5,31.0,Average,8,No,518872
10281,25,Female,Finance,3,15,69689.0,Yes,Fair,10,3,5.0,Average,6,No,580469
10282,39,Female,IT,3,12,57191.0,No,Fair,41,3,63.0,Average,3,No,659130
10283,24,Male,IT,3,14,82882.0,Yes,Good,12,3,14.0,Average,2,No,155189
10284,55,Male,Sales,2,26,70573.0,Yes,Poor,30,9,29.0,Average,6,No,490262
10285,37,Female,Sales,2,3,44186.0,Yes,Excellent,33,8,61.0,High,1,No,866098
10286,48,Female,Finance,1,15,,Yes,Good,18,7,70.0,Average,10,No,408067
10287,50,Male,Marketing,1,29,54504.0,No,Good,14,2,19.0,Average,6,No,397224
10288,49,Female,Sales,1,29,54345.0,No,Good,22,0,32.0,High,9,No,103474
10289,26,Male,Sales,3,2,51471.0,Yes,,21,0,17.0,High,7,No,225185
10290,55,Male,IT,1,21,42181.0,No,Poor,1,0,18.0,Low,9,No,572923
10291,57,Male,Marketing,4,21,88197.0,No,Good,43,3,70.0,High,2,No,758620
10292,44,Male,Sales,2,11,47119.0,No,Good,15,5,,Average,5,No,105618
10293,49,Female,IT,3,20,83843.0,No,Good,36,3,29.0,Low,9,No,801125
10294,51,Female,Marketing,2,3,35118.0,No,Good,22,2,58.0,Average,7,No,881550
10295,55,Male,Sales,2,30,83443.0,No,Fair,32,7,16.0,Average,9,No,265190
10296,53,Male,Sales,4,30,99383.0,No,,33,7,13.0,High,6,No,764645
10297,41,Male,IT,1,22,42838.0,Yes,Fair,41,5,35.0,Average,7,No,335424
10298,52,Male,Marketing,1,19,36861.0,No,Good,39,8,57.0,High,10,No,419227
10299,43,Male,Sales,3,14,69718.0,No,Excellent,23,9,47.0,Average,5,No,304749
10300,53,Female,IT,1,22,52628.0,No,Excellent,43,0,42.0,Average,6,No,259424
10301,23,Female,IT,1,27,44493.0,No,Good,2,7,46.0,Average,1,No,537272
10302,38,Female,IT,2,15,51292.0,No,Good,2,5,76.0,High,1,No,910139
10303,45,Female,IT,1,20,45927.0,Yes,Good,38,0,52.0,Average,2,Yes,253233
10304,51,Male,IT,3,14,71358.0,No,Fair,29,3,71.0,High,4,No,511866
10305,23,Male,IT,1,16,38251.0,No,Fair,3,4,70.0,High,9,No,379088
10306,44,Male,IT,4,12,80608.0,No,Excellent,39,6,20.0,Average,7,No,893978
10307,52,Male,IT,3,18,75170.0,No,Good,7,7,20.0,Average,6,No,678427
10308,42,Male,IT,3,29,95589.0,No,Excellent,36,8,35.0,High,1,Yes,213857
