,transfrom__WorkLifeBalance,transform_num__MonthlyIncome,Ordinal_Encoding__PerformanceRating,OneHot_Encoding__Department_HR,OneHot_Encoding__Department_IT,OneHot_Encoding__Department_Marketing,OneHot_Encoding__Department_Sales,OneHot_Encoding__Gender_Male,OneHot_Encoding__Overtime_Yes,remainder__Age,remainder__JobLevel,remainder__YearsAtCompany,remainder__DistanceFromHome,remainder__NumCompaniesWorked,remainder__SatisfactionScore,Attrition
34,2.0,39348.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,2.0,7.0,17.0,4.0,4.0,0
35,2.0,42796.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,1.0,20.0,40.0,1.0,8.0,0
36,3.0,93048.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,10.0,2.0,0.0,3.0,0
37,1.0,59626.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,7.0,31.0,2.0,10.0,0
38,2.0,63511.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,2.0,23.0,37.0,6.0,1.0,0
39,1.0,65990.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,2.0,34.0,41.0,0.0,10.0,0
40,0.0,101614.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,46.0,5.0,13.0,41.0,1.0,5.0,1
41,3.0,22162.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,22.0,1.0,13.0,34.0,1.0,1.0,0
42,1.0,31375.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,1.0,9.0,34.0,3.0,5.0,0
43,2.0,36189.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,1.0,11.0,3.0,2.0,9.0,0
44,3.0,56270.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,1.0,33.0,17.0,2.0,5.0,0
45,3.0,59626.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,9.0,14.0,9.0,2.0,0
46,3.0,71245.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,55.0,3.0,16.0,14.0,4.0,2.0,0
47,1.0,59626.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,34.0,1.0,16.0,38.0,2.0,10.0,0
48,2.0,21176.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,1.0,2.0,35.0,6.0,9.0,0
49,2.0,96086.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,56.0,4.0,30.0,1.0,4.0,5.0,0
50,2.0,41639.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,2.0,0.0,29.0,3.0,8.0,0
51,3.0,46862.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,2.0,11.0,4.0,2.0,10.0,0
52,2.0,31977.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,2.0,3.0,33.0,3.0,4.0,1
53,2.0,101766.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,24.0,5.0,12.0,17.0,1.0,2.0,0
54,2.0,46187.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,49.0,1.0,33.0,28.0,0.0,4.0,0
55,2.0,88500.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,4.0,20.0,26.0,2.0,4.0,0
56,3.0,80057.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,46.0,3.0,21.0,8.0,1.0,9.0,0
57,0.0,22960.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,1.0,3.0,34.0,0.0,10.0,0
58,2.0,112238.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,5.0,17.0,18.0,0.0,6.0,0
59,3.0,22819.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,56.0,1.0,4.0,31.0,1.0,10.0,0
60,2.0,35442.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,1.0,18.0,27.0,8.0,6.0,0
61,0.0,72873.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,51.0,4.0,1.0,16.0,4.0,5.0,0
62,2.0,64576.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,3.0,11.0,10.0,8.0,6.0,0
63,1.0,63445.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,28.0,3.0,16.0,40.0,7.0,1.0,0
64,1.0,24165.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,1.0,9.0,12.0,5.0,5.0,0
65,3.0,80937.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,2.0,33.0,22.0,0.0,6.0,0
66,2.0,69529.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,41.0,3.0,5.0,16.0,9.0,8.0,0
67,2.0,48307.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,36.0,2.0,7.0,12.0,4.0,4.0,0
68,2.0,57262.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,38.0,2.0,10.0,11.0,0.0,5.0,0
69,2.0,31712.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,44.0,1.0,11.0,20.0,6.0,4.0,1
70,0.0,38054.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,1.0,8.0,1.0,9.0,7.0,0
71,2.0,85526.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,4.0,1.0,27.0,7.0,10.0,0
72,1.0,33999.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,2.0,7.0,3.0,7.0,6.0,0
73,3.0,103328.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,10.0,12.0,6.0,4.0,0
74,1.0,47318.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,2.0,9.0,30.0,1.0,6.0,0
75,1.0,226365.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,45.0,3.0,20.0,18.0,4.0,4.0,0
76,2.0,43751.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,1.0,19.0,37.0,3.0,8.0,0
77,1.0,44646.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,2.0,7.0,1.0,4.0,3.0,0
78,1.0,47187.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,1.0,28.0,42.0,9.0,8.0,0
79,2.0,49040.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,2.0,11.0,4.0,8.0,2.0,0
80,0.0,58827.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,13.0,15.0,3.0,6.0,0
81,0.0,115095.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,44.0,5.0,20.0,27.0,7.0,8.0,0
82,2.0,82961.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,31.0,3.0,21.0,8.0,7.0,1.0,0
83,2.0,40337.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,20.0,23.0,1.0,6.0,0
84,2.0,166536.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,1.0,29.0,30.0,5.0,9.0,0
85,2.0,33544.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,1.0,19.0,27.0,4.0,10.0,0
86,2.0,60601.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,55.0,2.0,23.0,31.0,1.0,10.0,1
87,2.0,79783.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,53.0,3.0,22.0,39.0,9.0,2.0,0
88,3.0,71541.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,4.0,6.0,8.0,3.0,1.0,0
89,0.0,22618.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,59.0,1.0,8.0,30.0,6.0,2.0,0
90,2.0,37878.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,48.0,2.0,0.0,42.0,0.0,5.0,0
91,3.0,66778.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,2.0,25.0,18.0,8.0,6.0,0
92,3.0,84038.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,3.0,21.0,4.0,9.0,1.0,0
93,1.0,43196.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,2.0,9.0,43.0,0.0,7.0,0
94,1.0,60345.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,32.0,3.0,5.0,22.0,4.0,4.0,0
95,2.0,69168.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,3.0,16.0,3.0,6.0,9.0,0
96,0.0,49836.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,53.0,1.0,23.0,15.0,7.0,6.0,0
97,3.0,71944.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,9.0,35.0,1.0,9.0,0
98,2.0,29299.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,44.0,1.0,7.0,38.0,3.0,1.0,1
99,2.0,84367.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,3.0,20.0,33.0,1.0,4.0,0
100,1.0,42194.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,55.0,2.0,5.0,14.0,3.0,2.0,0
101,2.0,64833.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,42.0,2.0,20.0,1.0,5.0,6.0,0
102,2.0,100052.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,4.0,23.0,26.0,5.0,4.0,0
103,3.0,104250.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,55.0,4.0,32.0,8.0,1.0,9.0,0
104,0.0,93880.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,4.0,17.0,16.0,3.0,3.0,0
105,0.0,62428.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,2.0,27.0,38.0,3.0,1.0,0
106,2.0,105234.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,3.0,31.0,10.0,0.0,1.0,0
107,1.0,47195.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,2.0,11.0,42.0,1.0,9.0,0
108,2.0,107070.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,4.0,26.0,37.0,2.0,9.0,0
109,3.0,46725.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,9.0,26.0,4.0,5.0,0
110,2.0,119798.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,5.0,31.0,28.0,7.0,2.0,0
111,2.0,90608.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,46.0,4.0,25.0,12.0,5.0,9.0,0
112,0.0,87294.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,34.0,3.0,24.0,20.0,2.0,8.0,0
113,1.0,39296.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,1.0,10.0,14.0,5.0,10.0,0
114,0.0,39991.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,1.0,22.0,35.0,6.0,10.0,0
115,1.0,101659.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,4.0,33.0,29.0,5.0,6.0,0
116,3.0,42449.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,1.0,22.0,12.0,9.0,7.0,0
117,0.0,99977.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,4.0,28.0,18.0,5.0,6.0,0
118,2.0,68098.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,2.0,30.0,44.0,0.0,5.0,0
119,2.0,59626.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,33.0,2.0,6.0,2.0,2.0,4.0,0
120,3.0,110097.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,52.0,4.0,32.0,2.0,6.0,7.0,0
121,1.0,73022.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,59.0,3.0,20.0,17.0,3.0,4.0,0
122,1.0,40731.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,2.0,1.0,10.0,3.0,10.0,0
123,0.0,60401.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,24.0,2.0,17.0,18.0,6.0,10.0,0
124,2.0,72377.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0,2.0,32.0,22.0,8.0,10.0,0
125,2.0,94427.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,57.0,3.0,33.0,19.0,1.0,9.0,0
126,3.0,43923.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,43.0,1.0,19.0,1.0,8.0,5.0,0
127,2.0,115356.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,4.0,34.0,24.0,2.0,8.0,0
128,2.0,92643.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,35.0,4.0,17.0,36.0,5.0,6.0,1
129,2.0,216585.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,49.0,2.0,23.0,50.0,3.0,4.0,0
130,2.0,65896.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,56.0,3.0,7.0,36.0,0.0,3.0,0
131,2.0,68095.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,33.0,2.0,29.0,31.0,8.0,6.0,0
132,3.0,44131.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,52.0,2.0,9.0,31.0,5.0,1.0,0
133,3.0,113051.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,27.0,5.0,22.0,2.0,7.0,2.0,0
134,3.0,33792.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,1.0,10.0,19.0,1.0,7.0,0
135,3.0,15463.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,48.0,1.0,1.0,12.0,6.0,4.0,0
136,1.0,63450.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,2.0,25.0,10.0,5.0,5.0,0
137,1.0,80748.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,2.0,32.0,31.0,1.0,10.0,0
138,0.0,69549.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,3.0,12.0,22.0,1.0,1.0,0
139,1.0,89991.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,3.0,24.0,23.0,3.0,2.0,0
140,1.0,62388.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,40.0,3.0,3.0,23.0,3.0,4.0,0
141,2.0,68539.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,3.0,18.0,15.0,2.0,8.0,0
142,2.0,37787.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,31.0,1.0,17.0,26.0,7.0,10.0,0
143,3.0,76739.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,2.0,29.0,3.0,6.0,4.0,0
144,2.0,32266.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,45.0,1.0,18.0,23.0,1.0,3.0,0
145,3.0,46918.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,59.0,1.0,22.0,20.0,2.0,3.0,1
146,0.0,59626.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,53.0,2.0,15.0,40.0,9.0,5.0,1
147,0.0,7471.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,1.0,0.0,39.0,8.0,3.0,1
148,2.0,31917.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,1.0,11.0,8.0,4.0,8.0,0
149,1.0,40575.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,33.0,1.0,23.0,18.0,1.0,5.0,0
150,1.0,104594.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,33.0,41.0,2.0,7.0,0
151,1.0,80454.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,4.0,7.0,6.0,7.0,8.0,0
152,1.0,62814.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,17.0,27.0,3.0,5.0,0
153,2.0,72754.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,28.0,4.0,4.0,36.0,1.0,8.0,0
154,2.0,99307.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,3.0,25.0,15.0,1.0,3.0,0
155,2.0,92701.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,3.0,29.0,37.0,5.0,7.0,0
156,2.0,27111.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,57.0,1.0,12.0,5.0,7.0,8.0,0
157,2.0,84024.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,53.0,3.0,18.0,39.0,6.0,7.0,0
158,1.0,81647.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,44.0,3.0,28.0,9.0,3.0,2.0,0
159,1.0,53077.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,3.0,2.0,7.0,1.0,8.0,0
160,1.0,77106.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,52.0,3.0,25.0,41.0,8.0,6.0,0
161,2.0,50736.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,2.0,11.0,20.0,3.0,10.0,0
162,2.0,63411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,3.0,1.0,10.0,8.0,3.0,0
163,2.0,78005.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,32.0,4.0,10.0,26.0,4.0,4.0,0
164,1.0,56037.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,59.0,2.0,27.0,4.0,6.0,7.0,0
165,2.0,59626.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,3.0,17.0,38.0,4.0,3.0,0
166,2.0,59722.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,2.0,12.0,24.0,1.0,1.0,0
167,2.0,67229.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,57.0,3.0,21.0,14.0,5.0,6.0,0
168,2.0,69960.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3.0,11.0,41.0,6.0,3.0,0
169,2.0,20559.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,1.0,1.0,1.0,5.0,10.0,0
170,2.0,56475.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,22.0,3.0,6.0,17.0,2.0,6.0,0
171,2.0,39633.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,1.0,25.0,24.0,9.0,10.0,0
172,1.0,59626.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,43.0,3.0,25.0,27.0,7.0,3.0,0
173,2.0,64674.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,57.0,2.0,23.0,7.0,2.0,6.0,0
174,1.0,68726.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,52.0,3.0,11.0,9.0,4.0,4.0,0
175,0.0,32269.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,53.0,1.0,15.0,43.0,8.0,4.0,1
176,3.0,75588.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,3.0,22.0,35.0,4.0,10.0,0
177,3.0,12870.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,8.0,12.0,6.0,10.0,0
178,0.0,107831.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,4.0,31.0,21.0,6.0,2.0,0
179,2.0,97432.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,4.0,14.0,3.0,4.0,4.0,0
180,1.0,99058.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,52.0,5.0,12.0,15.0,1.0,4.0,0
181,2.0,49665.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,3.0,4.0,21.0,4.0,7.0,0
182,3.0,68613.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,52.0,3.0,10.0,10.0,6.0,5.0,0
183,3.0,32520.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,1.0,9.0,33.0,6.0,8.0,0
184,2.0,46884.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,2.0,12.0,6.0,3.0,7.0,0
185,2.0,50707.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,37.0,2.0,14.0,2.0,0.0,10.0,0
186,2.0,62783.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,58.0,3.0,6.0,29.0,5.0,9.0,0
187,2.0,103466.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,4.0,27.0,40.0,2.0,8.0,0
188,3.0,61200.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,1.0,31.0,33.0,4.0,9.0,0
189,3.0,127423.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,4.0,34.0,4.0,3.0,1.0,0
190,2.0,59626.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,3.0,14.0,4.0,1.0,10.0,0
191,1.0,85378.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,42.0,3.0,20.0,29.0,6.0,3.0,0
192,1.0,24631.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,31.0,1.0,5.0,37.0,4.0,5.0,0
193,0.0,26329.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,36.0,1.0,0.0,20.0,6.0,9.0,0
194,3.0,43946.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0,2.0,3.0,41.0,8.0,8.0,0
195,2.0,66366.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,29.0,3.0,10.0,23.0,3.0,10.0,0
196,1.0,52560.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,25.0,18.0,4.0,7.0,0
197,2.0,60035.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,36.0,2.0,22.0,25.0,8.0,2.0,1
198,3.0,100954.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,4.0,28.0,1.0,9.0,6.0,0
199,1.0,100865.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,23.0,4.0,20.0,15.0,3.0,4.0,0
200,3.0,98134.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0,4.0,26.0,34.0,4.0,5.0,0
201,3.0,54254.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,2.0,12.0,20.0,4.0,5.0,0
202,3.0,62584.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,39.0,2.0,22.0,37.0,7.0,4.0,0
203,2.0,58023.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,46.0,3.0,15.0,27.0,3.0,4.0,0
204,1.0,67353.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,2.0,29.0,22.0,3.0,4.0,0
205,2.0,23609.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,39.0,1.0,3.0,5.0,6.0,2.0,0
206,1.0,33563.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,40.0,1.0,15.0,34.0,4.0,1.0,0
207,1.0,56719.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,2.0,30.0,39.0,5.0,2.0,0
